event_id,event_name,keyword,status,comment_jsonl_rows,output_dir,finished_at
E001,DeepSeek-V4,DeepSeek V4,ok,3965,/Users/momo/Documents/media catch/.local_backups/rednote_origin_main_20260706/runs/xhs_core_events/ai_core_20260706/device_a/full-recon-comments/E001/deepseek_v4_a890791b,2026-07-06T20:38:27
E001,DeepSeek-V4,DeepSeek V4 Flash,ok,700,/Users/momo/Documents/media catch/.local_backups/rednote_origin_main_20260706/runs/xhs_core_events/ai_core_20260706/device_a/full-recon-comments/E001/deepseek_v4_flash_6a597dba,2026-07-08T14:36:40
E001,DeepSeek-V4,DeepSeek V4 Pro,ok,2081,/Users/momo/Documents/media catch/.local_backups/rednote_origin_main_20260706/runs/xhs_core_events/ai_core_20260706/device_a/full-recon-comments/E001/deepseek_v4_pro_9d7c36fd,2026-07-08T14:11:56
E001,DeepSeek-V4,DeepSeek V4 发布,ok,4528,/Users/momo/Documents/media catch/.local_backups/rednote_origin_main_20260706/runs/xhs_core_events/ai_core_20260706/device_a/full-recon-comments/E001/deepseek_v4_a6740ae4,2026-07-07T12:14:01
E001,DeepSeek-V4,DeepSeek V4 怎么用,ok,1055,/Users/momo/Documents/media catch/.local_backups/rednote_origin_main_20260706/runs/xhs_core_events/ai_core_20260706/device_a/full-recon-comments/E001/deepseek_v4_90fd9e77,2026-07-07T15:19:39
E001,DeepSeek-V4,DeepSeek V4 测评,ok,1658,/Users/momo/Documents/media catch/.local_backups/rednote_origin_main_20260706/runs/xhs_core_events/ai_core_20260706/device_a/full-recon-comments/E001/deepseek_v4_a693e3e7,2026-07-08T13:11:02
E001,DeepSeek-V4,DeepSeek V4 编程,ok,2278,/Users/momo/Documents/media catch/.local_backups/rednote_origin_main_20260706/runs/xhs_core_events/ai_core_20260706/device_a/full-recon-comments/E001/deepseek_v4_7357b213,2026-07-08T13:41:58
E001,DeepSeek-V4,DeepSeek-V4,ok,5123,/Users/momo/Documents/media catch/.local_backups/rednote_origin_main_20260706/runs/xhs_core_events/ai_core_20260706/device_a/full-recon-comments/E001/deepseek_v4_885965b0,2026-07-07T11:34:15
E002,GPT-5.5 / GPT-5.5 Instant,ChatGPT GPT-5.5,ok,1528,/Users/momo/Documents/media catch/.local_backups/rednote_origin_main_20260706/runs/xhs_core_events/ai_core_20260706/device_a/full-recon-comments/E002/chatgpt_gpt_5_5_a78e97d2,2026-07-08T16:25:25
E002,GPT-5.5 / GPT-5.5 Instant,GPT-5.5,ok,1096,/Users/momo/Documents/media catch/.local_backups/rednote_origin_main_20260706/runs/xhs_core_events/ai_core_20260706/device_a/full-recon-comments/E002/gpt_5_5_5b3dddbb,2026-07-08T15:02:46
E002,GPT-5.5 / GPT-5.5 Instant,GPT-5.5 Instant,ok,454,/Users/momo/Documents/media catch/.local_backups/rednote_origin_main_20260706/runs/xhs_core_events/ai_core_20260706/device_a/full-recon-comments/E002/gpt_5_5_instant_08032c69,2026-07-08T15:26:40
E002,GPT-5.5 / GPT-5.5 Instant,GPT-5.5 发布,ok,339,/Users/momo/Documents/media catch/.local_backups/rednote_origin_main_20260706/runs/xhs_core_events/ai_core_20260706/device_a/full-recon-comments/E002/gpt_5_5_720d385d,2026-07-08T16:48:51
E002,GPT-5.5 / GPT-5.5 Instant,GPT-5.5 怎么用,ok,407,/Users/momo/Documents/media catch/.local_backups/rednote_origin_main_20260706/runs/xhs_core_events/ai_core_20260706/device_a/full-recon-comments/E002/gpt_5_5_f2279dcf,2026-07-08T17:12:21
E002,GPT-5.5 / GPT-5.5 Instant,GPT-5.5 测评,ok,998,/Users/momo/Documents/media catch/.local_backups/rednote_origin_main_20260706/runs/xhs_core_events/ai_core_20260706/device_a/full-recon-comments/E002/gpt_5_5_3f4d1266,2026-07-08T17:38:10
E002,GPT-5.5 / GPT-5.5 Instant,OpenAI GPT-5.5,ok,371,/Users/momo/Documents/media catch/.local_backups/rednote_origin_main_20260706/runs/xhs_core_events/ai_core_20260706/device_a/full-recon-comments/E002/openai_gpt_5_5_4425a59d,2026-07-08T15:49:59
E003,GPT-5.6 Sol,ChatGPT Sol,ok,333,/Users/momo/Documents/media catch/.local_backups/rednote_origin_main_20260706/runs/xhs_core_events/ai_core_20260706/device_a/full-recon-comments/E003/chatgpt_sol_13a80220,2026-07-08T19:11:44
E003,GPT-5.6 Sol,GPT 5.6 Sol,ok,481,/Users/momo/Documents/media catch/.local_backups/rednote_origin_main_20260706/runs/xhs_core_events/ai_core_20260706/device_a/full-recon-comments/E003/gpt_5_6_sol_954b4513,2026-07-08T18:25:51
E003,GPT-5.6 Sol,GPT-5.6 Sol,ok,467,/Users/momo/Documents/media catch/.local_backups/rednote_origin_main_20260706/runs/xhs_core_events/ai_core_20260706/device_a/full-recon-comments/E003/gpt_5_6_sol_0c25a29e,2026-07-08T18:02:01
E003,GPT-5.6 Sol,GPT-5.6 发布,ok,1755,/Users/momo/Documents/media catch/.local_backups/rednote_origin_main_20260706/runs/xhs_core_events/ai_core_20260706/device_a/full-recon-comments/E003/gpt_5_6_0d66c80b,2026-07-08T20:34:25
E003,GPT-5.6 Sol,GPT-5.6 怎么用,ok,251,/Users/momo/Documents/media catch/.local_backups/rednote_origin_main_20260706/runs/xhs_core_events/ai_core_20260706/device_a/full-recon-comments/E003/gpt_5_6_4f51ade3,2026-07-10T23:42:09
E003,GPT-5.6 Sol,GPT-5.6 测评,ok,1647,/Users/momo/Documents/media catch/.local_backups/rednote_origin_main_20260706/runs/xhs_core_events/ai_core_20260706/device_a/full-recon-comments/E003/gpt_5_6_2a767a0c,2026-07-10T23:55:31
E003,GPT-5.6 Sol,OpenAI Sol,ok,138,/Users/momo/Documents/media catch/.local_backups/rednote_origin_main_20260706/runs/xhs_core_events/ai_core_20260706/device_a/full-recon-comments/E003/openai_sol_697bad06,2026-07-08T18:48:31
